question,answer
siswa kena berpakaian apa,"Anda dikehendaki mematuhi etika seperti berikut semasa anda mendaftar di kolej kediaman UiTM Shah Alam/ Kampus UiTM Negeri.

SISWA
1. Memakai baju kemeja, berseluar slack dan berkasut. Seluar jeans TIDAK DIBENARKAN sama sekali.
2. Memakai tali leher/ baju batik lengan panjang
3. Berambut pendek dan kemas (dilarang mewarnakan rambut)
4. Dilarang bertindik/ memakai subang/ gelang/ rantai
5. Dilarang memakai kemeja tanpa kolar
6. Dilarang berselipar/ bercapal
7. Memakai pakaian formal yang kemas, bersih, menutup aurat dan bersopan.

SISWI
1. Memakai baju kurung/ baju batik dan berkasut
2. Seluar jeans TIDAK DIBENARKAN sama sekali
3. Dilarang mewarnakan rambut
4. Memakai pakaian formal yang kemas, bersih, menutup aurat dan bersopan."
masa nak daftar kena pakai macam mana,"Anda dikehendaki mematuhi etika seperti berikut semasa anda mendaftar di kolej kediaman UiTM Shah Alam/ Kampus UiTM Negeri.

SISWA
1. Memakai baju kemeja, berseluar slack dan berkasut. Seluar jeans TIDAK DIBENARKAN sama sekali.
2. Memakai tali leher/ baju batik lengan panjang
3. Berambut pendek dan kemas (dilarang mewarnakan rambut)
4. Dilarang bertindik/ memakai subang/ gelang/ rantai
5. Dilarang memakai kemeja tanpa kolar
6. Dilarang berselipar/ bercapal
7. Memakai pakaian formal yang kemas, bersih, menutup aurat dan bersopan.

SISWI
1. Memakai baju kurung/ baju batik dan berkasut
2. Seluar jeans TIDAK DIBENARKAN sama sekali
3. Dilarang mewarnakan rambut
4. Memakai pakaian formal yang kemas, bersih, menutup aurat dan bersopan."
"hari pendaftaran, bagaimana pelajar perlu berpakaian","Anda dikehendaki mematuhi etika seperti berikut semasa anda mendaftar di kolej kediaman UiTM Shah Alam/ Kampus UiTM Negeri.

SISWA
1. Memakai baju kemeja, berseluar slack dan berkasut. Seluar jeans TIDAK DIBENARKAN sama sekali.
2. Memakai tali leher/ baju batik lengan panjang
3. Berambut pendek dan kemas (dilarang mewarnakan rambut)
4. Dilarang bertindik/ memakai subang/ gelang/ rantai
5. Dilarang memakai kemeja tanpa kolar
6. Dilarang berselipar/ bercapal
7. Memakai pakaian formal yang kemas, bersih, menutup aurat dan bersopan.

SISWI
1. Memakai baju kurung/ baju batik dan berkasut
2. Seluar jeans TIDAK DIBENARKAN sama sekali
3. Dilarang mewarnakan rambut
4. Memakai pakaian formal yang kemas, bersih, menutup aurat dan bersopan."
etika pemakaian,"Anda dikehendaki mematuhi etika seperti berikut semasa anda mendaftar di kolej kediaman UiTM Shah Alam/ Kampus UiTM Negeri.

SISWA
1. Memakai baju kemeja, berseluar slack dan berkasut. Seluar jeans TIDAK DIBENARKAN sama sekali.
2. Memakai tali leher/ baju batik lengan panjang
3. Berambut pendek dan kemas (dilarang mewarnakan rambut)
4. Dilarang bertindik/ memakai subang/ gelang/ rantai
5. Dilarang memakai kemeja tanpa kolar
6. Dilarang berselipar/ bercapal
7. Memakai pakaian formal yang kemas, bersih, menutup aurat dan bersopan.

SISWI
1. Memakai baju kurung/ baju batik dan berkasut
2. Seluar jeans TIDAK DIBENARKAN sama sekali
3. Dilarang mewarnakan rambut
4. Memakai pakaian formal yang kemas, bersih, menutup aurat dan bersopan."
kalau saya tak ikut sahsiah rupa diri macam mana,Anda tidak akan dibenarkan untuk mendaftar sekiranya anda tidak mematuhi sahsiah rupa diri yang ditetapkan oleh pihak UiTM
apa akan terjadi sekiranya saya tidak mengikuti sahsiah rupa diri semasa mendaftar,Anda tidak akan dibenarkan untuk mendaftar sekiranya anda tidak mematuhi sahsiah rupa diri yang ditetapkan oleh pihak UiTM
kalau saya pakai jeans jadi apa,Anda tidak akan dibenarkan untuk mendaftar sekiranya anda tidak mematuhi sahsiah rupa diri yang ditetapkan oleh pihak UiTM
saya taknak ikut sahsiah rupa diri,Anda tidak akan dibenarkan untuk mendaftar sekiranya anda tidak mematuhi sahsiah rupa diri yang ditetapkan oleh pihak UiTM
macam mana kalau tak ikut sahsiah rupa diri,Anda tidak akan dibenarkan untuk mendaftar sekiranya anda tidak mematuhi sahsiah rupa diri yang ditetapkan oleh pihak UiTM
taknak pakai macam sahsiah rupa diri,Anda tidak akan dibenarkan untuk mendaftar sekiranya anda tidak mematuhi sahsiah rupa diri yang ditetapkan oleh pihak UiTM
sahsiah rupa diri kalau tak ikut jadi apa,Anda tidak akan dibenarkan untuk mendaftar sekiranya anda tidak mematuhi sahsiah rupa diri yang ditetapkan oleh pihak UiTM
apakah yang perlu saya lakukan selepas saya mendaftar,"Anda perlu menghadiri Minggu Destini Siswa (MDS), Program Senam Seni (semasa MDS), Program Pemantapan Wawasan (PPW) dan mendaftar kursus."
lepas daftar kena buat apa,"Anda perlu menghadiri Minggu Destini Siswa (MDS), Program Senam Seni (semasa MDS), Program Pemantapan Wawasan (PPW) dan mendaftar kursus."
lepas daftar boleh balik tak,"Anda perlu menghadiri Minggu Destini Siswa (MDS), Program Senam Seni (semasa MDS), Program Pemantapan Wawasan (PPW) dan mendaftar kursus."
saya ada kena hadir apa apa ke,"Anda perlu menghadiri Minggu Destini Siswa (MDS), Program Senam Seni (semasa MDS), Program Pemantapan Wawasan (PPW) dan mendaftar kursus."
senarai program yang perlu saya hadir,"Anda perlu menghadiri Minggu Destini Siswa (MDS), Program Senam Seni (semasa MDS), Program Pemantapan Wawasan (PPW) dan mendaftar kursus."
ada kena hadir apa apa ke ,"Anda perlu menghadiri Minggu Destini Siswa (MDS), Program Senam Seni (semasa MDS), Program Pemantapan Wawasan (PPW) dan mendaftar kursus."
terangkan mengenai program minggu destini siswa (mds),"Minggu Destini Siswa adalah 
1. Bagi semua pelajar baru kemasukan lepasan SPM/STPM/MATRIKULASI adalah DIWAJIBKAN mengikuti MDS yang bermula pada tarikh pendaftaran.
2. Sebarang urusan peribadi seperti menguruskan cuti belajar, perletakan jawatan atau menyelesaikan pemeriksaan perubatan, ianya perlu dilakukan sebelum atau selepas MDS dijalankan.
3. Bagi memastikan semua pelajar baru dapat mengikuti MDS tanpa sebarang gangguan, ibu/bapa/penjaga TIDAK digalakkan untuk berjumpa atau melawat anak kecuali bagi hal kecemasan.
4. Pakaian semasa perasmian Minggu Destini Siswa (perlu dibawa semasa mendaftar)
5. Siswa baju kemeja lengan panjang berwarna putih, berseluar slack berwarna gelap dan kasut kulit berwarna hitam.
6. Siswi baju kurung berwarna putih, memakai kain berwarna gelap dan kasut bertutup berwarna hitam
8. Sepanjang MDS semua pelajar baru adalah dikehendaki berpakaian kemas dan mematuhi etika pakaian dan rambut seperti yang ditetapkan."
mds tu apa,"Minggu Destini Siswa adalah 
1. Bagi semua pelajar baru kemasukan lepasan SPM/STPM/MATRIKULASI adalah DIWAJIBKAN mengikuti MDS yang bermula pada tarikh pendaftaran.
2. Sebarang urusan peribadi seperti menguruskan cuti belajar, perletakan jawatan atau menyelesaikan pemeriksaan perubatan, ianya perlu dilakukan sebelum atau selepas MDS dijalankan.
3. Bagi memastikan semua pelajar baru dapat mengikuti MDS tanpa sebarang gangguan, ibu/bapa/penjaga TIDAK digalakkan untuk berjumpa atau melawat anak kecuali bagi hal kecemasan.
4. Pakaian semasa perasmian Minggu Destini Siswa (perlu dibawa semasa mendaftar)
5. Siswa baju kemeja lengan panjang berwarna putih, berseluar slack berwarna gelap dan kasut kulit berwarna hitam.
6. Siswi baju kurung berwarna putih, memakai kain berwarna gelap dan kasut bertutup berwarna hitam
8. Sepanjang MDS semua pelajar baru adalah dikehendaki berpakaian kemas dan mematuhi etika pakaian dan rambut seperti yang ditetapkan."
minggu destini siswa tu apa,"Minggu Destini Siswa adalah 
1. Bagi semua pelajar baru kemasukan lepasan SPM/STPM/MATRIKULASI adalah DIWAJIBKAN mengikuti MDS yang bermula pada tarikh pendaftaran.
2. Sebarang urusan peribadi seperti menguruskan cuti belajar, perletakan jawatan atau menyelesaikan pemeriksaan perubatan, ianya perlu dilakukan sebelum atau selepas MDS dijalankan.
3. Bagi memastikan semua pelajar baru dapat mengikuti MDS tanpa sebarang gangguan, ibu/bapa/penjaga TIDAK digalakkan untuk berjumpa atau melawat anak kecuali bagi hal kecemasan.
4. Pakaian semasa perasmian Minggu Destini Siswa (perlu dibawa semasa mendaftar)
5. Siswa baju kemeja lengan panjang berwarna putih, berseluar slack berwarna gelap dan kasut kulit berwarna hitam.
6. Siswi baju kurung berwarna putih, memakai kain berwarna gelap dan kasut bertutup berwarna hitam
8. Sepanjang MDS semua pelajar baru adalah dikehendaki berpakaian kemas dan mematuhi etika pakaian dan rambut seperti yang ditetapkan."
apa itu mds,"Minggu Destini Siswa adalah 
1. Bagi semua pelajar baru kemasukan lepasan SPM/STPM/MATRIKULASI adalah DIWAJIBKAN mengikuti MDS yang bermula pada tarikh pendaftaran.
2. Sebarang urusan peribadi seperti menguruskan cuti belajar, perletakan jawatan atau menyelesaikan pemeriksaan perubatan, ianya perlu dilakukan sebelum atau selepas MDS dijalankan.
3. Bagi memastikan semua pelajar baru dapat mengikuti MDS tanpa sebarang gangguan, ibu/bapa/penjaga TIDAK digalakkan untuk berjumpa atau melawat anak kecuali bagi hal kecemasan.
4. Pakaian semasa perasmian Minggu Destini Siswa (perlu dibawa semasa mendaftar)
5. Siswa baju kemeja lengan panjang berwarna putih, berseluar slack berwarna gelap dan kasut kulit berwarna hitam.
6. Siswi baju kurung berwarna putih, memakai kain berwarna gelap dan kasut bertutup berwarna hitam
8. Sepanjang MDS semua pelajar baru adalah dikehendaki berpakaian kemas dan mematuhi etika pakaian dan rambut seperti yang ditetapkan."
apa itu minggu destini siswa,"Minggu Destini Siswa adalah 
1. Bagi semua pelajar baru kemasukan lepasan SPM/STPM/MATRIKULASI adalah DIWAJIBKAN mengikuti MDS yang bermula pada tarikh pendaftaran.
2. Sebarang urusan peribadi seperti menguruskan cuti belajar, perletakan jawatan atau menyelesaikan pemeriksaan perubatan, ianya perlu dilakukan sebelum atau selepas MDS dijalankan.
3. Bagi memastikan semua pelajar baru dapat mengikuti MDS tanpa sebarang gangguan, ibu/bapa/penjaga TIDAK digalakkan untuk berjumpa atau melawat anak kecuali bagi hal kecemasan.
4. Pakaian semasa perasmian Minggu Destini Siswa (perlu dibawa semasa mendaftar)
5. Siswa baju kemeja lengan panjang berwarna putih, berseluar slack berwarna gelap dan kasut kulit berwarna hitam.
6. Siswi baju kurung berwarna putih, memakai kain berwarna gelap dan kasut bertutup berwarna hitam
8. Sepanjang MDS semua pelajar baru adalah dikehendaki berpakaian kemas dan mematuhi etika pakaian dan rambut seperti yang ditetapkan."
cuba jelaskan apa itu minggu destini siswa,"Minggu Destini Siswa adalah 
1. Bagi semua pelajar baru kemasukan lepasan SPM/STPM/MATRIKULASI adalah DIWAJIBKAN mengikuti MDS yang bermula pada tarikh pendaftaran.
2. Sebarang urusan peribadi seperti menguruskan cuti belajar, perletakan jawatan atau menyelesaikan pemeriksaan perubatan, ianya perlu dilakukan sebelum atau selepas MDS dijalankan.
3. Bagi memastikan semua pelajar baru dapat mengikuti MDS tanpa sebarang gangguan, ibu/bapa/penjaga TIDAK digalakkan untuk berjumpa atau melawat anak kecuali bagi hal kecemasan.
4. Pakaian semasa perasmian Minggu Destini Siswa (perlu dibawa semasa mendaftar)
5. Siswa baju kemeja lengan panjang berwarna putih, berseluar slack berwarna gelap dan kasut kulit berwarna hitam.
6. Siswi baju kurung berwarna putih, memakai kain berwarna gelap dan kasut bertutup berwarna hitam
8. Sepanjang MDS semua pelajar baru adalah dikehendaki berpakaian kemas dan mematuhi etika pakaian dan rambut seperti yang ditetapkan."
minggu destini siswa untuk siapa,"Minggu Destini Siswa adalah 
1. Bagi semua pelajar baru kemasukan lepasan SPM/STPM/MATRIKULASI adalah DIWAJIBKAN mengikuti MDS yang bermula pada tarikh pendaftaran.
2. Sebarang urusan peribadi seperti menguruskan cuti belajar, perletakan jawatan atau menyelesaikan pemeriksaan perubatan, ianya perlu dilakukan sebelum atau selepas MDS dijalankan.
3. Bagi memastikan semua pelajar baru dapat mengikuti MDS tanpa sebarang gangguan, ibu/bapa/penjaga TIDAK digalakkan untuk berjumpa atau melawat anak kecuali bagi hal kecemasan.
4. Pakaian semasa perasmian Minggu Destini Siswa (perlu dibawa semasa mendaftar)
5. Siswa baju kemeja lengan panjang berwarna putih, berseluar slack berwarna gelap dan kasut kulit berwarna hitam.
6. Siswi baju kurung berwarna putih, memakai kain berwarna gelap dan kasut bertutup berwarna hitam
8. Sepanjang MDS semua pelajar baru adalah dikehendaki berpakaian kemas dan mematuhi etika pakaian dan rambut seperti yang ditetapkan."
siapa diwajibkan untuk hadir minggu destini siswa,"Minggu Destini Siswa adalah 
1. Bagi semua pelajar baru kemasukan lepasan SPM/STPM/MATRIKULASI adalah DIWAJIBKAN mengikuti MDS yang bermula pada tarikh pendaftaran.
2. Sebarang urusan peribadi seperti menguruskan cuti belajar, perletakan jawatan atau menyelesaikan pemeriksaan perubatan, ianya perlu dilakukan sebelum atau selepas MDS dijalankan.
3. Bagi memastikan semua pelajar baru dapat mengikuti MDS tanpa sebarang gangguan, ibu/bapa/penjaga TIDAK digalakkan untuk berjumpa atau melawat anak kecuali bagi hal kecemasan.
4. Pakaian semasa perasmian Minggu Destini Siswa (perlu dibawa semasa mendaftar)
5. Siswa baju kemeja lengan panjang berwarna putih, berseluar slack berwarna gelap dan kasut kulit berwarna hitam.
6. Siswi baju kurung berwarna putih, memakai kain berwarna gelap dan kasut bertutup berwarna hitam
8. Sepanjang MDS semua pelajar baru adalah dikehendaki berpakaian kemas dan mematuhi etika pakaian dan rambut seperti yang ditetapkan."
program senam seni nak kena pakai baju apa,"Pakaian semasa Progam Senam Seni UiTM (perlu dibawa semasa mendaftar)

Siswa
1. Memakai T-Shirt warna Putih (tidak terdapat sebarang corak atau gambar pada bahagian depan atau belakang)
2. Memakai Seluar Track Suit warna Hitam (tidak terdapat sebarang corak atau gambar)
3. Memakai Kasut Sukan yang bersesuaian dengan aktiviti kecergasan 

Siswi
1. Memakai T-Shirt warna Putih lengan panjang (tidak terdapat sebarang corak atau gambar pada bahagian depan atau belakang)
2. Memakai Seluar Track Suit warna Hitam (tidak terdapat sebarang corak atau gambar)
3. Memakai Kasut Sukan yang bersesuaian dengan aktiviti kecergasan"
saya nak kena pakai baju apa untuk program senam seni,"Pakaian semasa Progam Senam Seni UiTM (perlu dibawa semasa mendaftar)

Siswa
1. Memakai T-Shirt warna Putih (tidak terdapat sebarang corak atau gambar pada bahagian depan atau belakang)
2. Memakai Seluar Track Suit warna Hitam (tidak terdapat sebarang corak atau gambar)
3. Memakai Kasut Sukan yang bersesuaian dengan aktiviti kecergasan 

Siswi
1. Memakai T-Shirt warna Putih lengan panjang (tidak terdapat sebarang corak atau gambar pada bahagian depan atau belakang)
2. Memakai Seluar Track Suit warna Hitam (tidak terdapat sebarang corak atau gambar)
3. Memakai Kasut Sukan yang bersesuaian dengan aktiviti kecergasan"
apa pakaian untuk senam seni,"Pakaian semasa Progam Senam Seni UiTM (perlu dibawa semasa mendaftar)

Siswa
1. Memakai T-Shirt warna Putih (tidak terdapat sebarang corak atau gambar pada bahagian depan atau belakang)
2. Memakai Seluar Track Suit warna Hitam (tidak terdapat sebarang corak atau gambar)
3. Memakai Kasut Sukan yang bersesuaian dengan aktiviti kecergasan 

Siswi
1. Memakai T-Shirt warna Putih lengan panjang (tidak terdapat sebarang corak atau gambar pada bahagian depan atau belakang)
2. Memakai Seluar Track Suit warna Hitam (tidak terdapat sebarang corak atau gambar)
3. Memakai Kasut Sukan yang bersesuaian dengan aktiviti kecergasan"
apakah pakaian yang perlu saya bawa untuk program senam seni,"Pakaian semasa Progam Senam Seni UiTM (perlu dibawa semasa mendaftar)

Siswa
1. Memakai T-Shirt warna Putih (tidak terdapat sebarang corak atau gambar pada bahagian depan atau belakang)
2. Memakai Seluar Track Suit warna Hitam (tidak terdapat sebarang corak atau gambar)
3. Memakai Kasut Sukan yang bersesuaian dengan aktiviti kecergasan 

Siswi
1. Memakai T-Shirt warna Putih lengan panjang (tidak terdapat sebarang corak atau gambar pada bahagian depan atau belakang)
2. Memakai Seluar Track Suit warna Hitam (tidak terdapat sebarang corak atau gambar)
3. Memakai Kasut Sukan yang bersesuaian dengan aktiviti kecergasan"
program pemantapan wawasan tu apa,Program Pemantapan Wawasan (PPW) diwajibkan untuk Semua pelajar baru lepasan Diploma. Tarikh PPW akan dimaklumkan semasa hari pendaftaran oleh Fakulti masing-masing.
apa itu ppw,Program Pemantapan Wawasan (PPW) diwajibkan untuk Semua pelajar baru lepasan Diploma. Tarikh PPW akan dimaklumkan semasa hari pendaftaran oleh Fakulti masing-masing.
ppw wajib untuk siapa,Program Pemantapan Wawasan (PPW) diwajibkan untuk Semua pelajar baru lepasan Diploma. Tarikh PPW akan dimaklumkan semasa hari pendaftaran oleh Fakulti masing-masing.
program pemantapan wawasan tu untuk siapa,Program Pemantapan Wawasan (PPW) diwajibkan untuk Semua pelajar baru lepasan Diploma. Tarikh PPW akan dimaklumkan semasa hari pendaftaran oleh Fakulti masing-masing.
siapa yang diwajibkan untuk hadir ke program pemantapan wawasan,Program Pemantapan Wawasan (PPW) diwajibkan untuk Semua pelajar baru lepasan Diploma. Tarikh PPW akan dimaklumkan semasa hari pendaftaran oleh Fakulti masing-masing.
apa nama panjang untuk ppw,Program Pemantapan Wawasan (PPW) diwajibkan untuk Semua pelajar baru lepasan Diploma. Tarikh PPW akan dimaklumkan semasa hari pendaftaran oleh Fakulti masing-masing.
bila saya perlu menghadiri ppw,Program Pemantapan Wawasan (PPW) diwajibkan untuk Semua pelajar baru lepasan Diploma. Tarikh PPW akan dimaklumkan semasa hari pendaftaran oleh Fakulti masing-masing.
bila saya perlu menghadiri program pemantapan wawasan,Program Pemantapan Wawasan (PPW) diwajibkan untuk Semua pelajar baru lepasan Diploma. Tarikh PPW akan dimaklumkan semasa hari pendaftaran oleh Fakulti masing-masing.
informasi mengenai program pemantapan wawasan (ppw),Program Pemantapan Wawasan (PPW) diwajibkan untuk Semua pelajar baru lepasan Diploma. Tarikh PPW akan dimaklumkan semasa hari pendaftaran oleh Fakulti masing-masing.
bagaimana saya boleh mendaftar kursus,Pendaftaran kursus mestilah dilakukan secara atas talian (online) melalui Gerbang Maklumat Pelajar (i-Student Portal) dengan mengikut prosedur yang ditetapkan oleh Universiti.
di mana saya perlu mendaftar kursus,Pendaftaran kursus mestilah dilakukan secara atas talian (online) melalui Gerbang Maklumat Pelajar (i-Student Portal) dengan mengikut prosedur yang ditetapkan oleh Universiti.
macam mana nak daftar kursus,Pendaftaran kursus mestilah dilakukan secara atas talian (online) melalui Gerbang Maklumat Pelajar (i-Student Portal) dengan mengikut prosedur yang ditetapkan oleh Universiti.
dekat mana saya nak daftar kursus,Pendaftaran kursus mestilah dilakukan secara atas talian (online) melalui Gerbang Maklumat Pelajar (i-Student Portal) dengan mengikut prosedur yang ditetapkan oleh Universiti.
daftar kursus kena online ke,Pendaftaran kursus mestilah dilakukan secara atas talian (online) melalui Gerbang Maklumat Pelajar (i-Student Portal) dengan mengikut prosedur yang ditetapkan oleh Universiti.
di mana saya boleh mendaftar kursus ,Pendaftaran kursus mestilah dilakukan secara atas talian (online) melalui Gerbang Maklumat Pelajar (i-Student Portal) dengan mengikut prosedur yang ditetapkan oleh Universiti.
apakah syarat tawaran kemasukan ke uitm,"Sepanjang pengajian di UiTM, pelajar diwajibkan untuk mematuhi : 
1. Undang-undang dan Perlembagaan Negara
2. Akta 174 Akta Institusi-Institusi Pelajaran (Tatatertib) 1976
3. Peraturan Akademik Universiti Teknologi MARA
4. Peraturan-peraturan lain yang dikeluarkan dari semasa ke semasa yang dikeluarkan oleh pihak Pengurusan Universiti."
ada undang undang yang perlu pelajar patuhi kah,"Sepanjang pengajian di UiTM, pelajar diwajibkan untuk mematuhi : 
1. Undang-undang dan Perlembagaan Negara
2. Akta 174 Akta Institusi-Institusi Pelajaran (Tatatertib) 1976
3. Peraturan Akademik Universiti Teknologi MARA
4. Peraturan-peraturan lain yang dikeluarkan dari semasa ke semasa yang dikeluarkan oleh pihak Pengurusan Universiti."
undang undang yang perlu pelajar patuhi,"Sepanjang pengajian di UiTM, pelajar diwajibkan untuk mematuhi : 
1. Undang-undang dan Perlembagaan Negara
2. Akta 174 Akta Institusi-Institusi Pelajaran (Tatatertib) 1976
3. Peraturan Akademik Universiti Teknologi MARA
4. Peraturan-peraturan lain yang dikeluarkan dari semasa ke semasa yang dikeluarkan oleh pihak Pengurusan Universiti."
pelajar kena ikut undang undang apa,"Sepanjang pengajian di UiTM, pelajar diwajibkan untuk mematuhi : 
1. Undang-undang dan Perlembagaan Negara
2. Akta 174 Akta Institusi-Institusi Pelajaran (Tatatertib) 1976
3. Peraturan Akademik Universiti Teknologi MARA
4. Peraturan-peraturan lain yang dikeluarkan dari semasa ke semasa yang dikeluarkan oleh pihak Pengurusan Universiti."
senarai perkara yang wajib pelajar patuhi,"Sepanjang pengajian di UiTM, pelajar diwajibkan untuk mematuhi : 
1. Undang-undang dan Perlembagaan Negara
2. Akta 174 Akta Institusi-Institusi Pelajaran (Tatatertib) 1976
3. Peraturan Akademik Universiti Teknologi MARA
4. Peraturan-peraturan lain yang dikeluarkan dari semasa ke semasa yang dikeluarkan oleh pihak Pengurusan Universiti."
undang undang yang perlu pelajar patuhi sepanjang berada di uitm,"Sepanjang pengajian di UiTM, pelajar diwajibkan untuk mematuhi : 
1. Undang-undang dan Perlembagaan Negara
2. Akta 174 Akta Institusi-Institusi Pelajaran (Tatatertib) 1976
3. Peraturan Akademik Universiti Teknologi MARA
4. Peraturan-peraturan lain yang dikeluarkan dari semasa ke semasa yang dikeluarkan oleh pihak Pengurusan Universiti."
adakah surat tawaran saya boleh dibatalkan,"Ya. Pihak UiTM berhak membatalkan tawaran yang telah dikeluarkan sekiranya didapati : 
1. Anda tidak memenuhi syarat kelayakan masuk. Anda dinasihatkan meneliti kelayakan masuk sebelum datang mendaftar
2. Anda mengemukakan maklumat/dokumen palsu semasa permohonan kemasukan/pendaftaran
3. Anda gagal melapor diri pada tarikh dan masa yang telah ditetapkan
4. Anda mempunyai kesan penggunaan dadah (tawaran ini tertakluk kepada keputusan ujian air kencing yang akan diadakan selama tempoh pengajian)
5. Anda tidak menamatkan pengajian pada tarikh pendaftaran serta tidak memenuhi syarat kelayakan minimum yang ditetapkan oleh UiTM bagi pelajar-pelajar tahun akhir Sijil/Diploma/Ijazah Sarjana Muda dari IPT untuk mengikuti program Diploma/Ijazah Sarjana Muda
6. Anda BUKAN BUMIPUTERA seperti yang ditakrifkan dalam perkara 160 (2) atau dalam perkara 161 a (6) (a) atau perkara 161 a (6) (b) berdasarkan Perlembagaan Persekutuan bagi urusan pemprosesan dan pemilihan kemasukan ke IPTA."
apa punca pembatalan surat tawaran,"Pihak UiTM berhak membatalkan tawaran yang telah dikeluarkan sekiranya didapati : 
1. Anda tidak memenuhi syarat kelayakan masuk. Anda dinasihatkan meneliti kelayakan masuk sebelum datang mendaftar
2. Anda mengemukakan maklumat/dokumen palsu semasa permohonan kemasukan/pendaftaran
3. Anda gagal melapor diri pada tarikh dan masa yang telah ditetapkan
4. Anda mempunyai kesan penggunaan dadah (tawaran ini tertakluk kepada keputusan ujian air kencing yang akan diadakan selama tempoh pengajian)
5. Anda tidak menamatkan pengajian pada tarikh pendaftaran serta tidak memenuhi syarat kelayakan minimum yang ditetapkan oleh UiTM bagi pelajar-pelajar tahun akhir Sijil/Diploma/Ijazah Sarjana Muda dari IPT untuk mengikuti program Diploma/Ijazah Sarjana Muda
6. Anda BUKAN BUMIPUTERA seperti yang ditakrifkan dalam perkara 160 (2) atau dalam perkara 161 a (6) (a) atau perkara 161 a (6) (b) berdasarkan Perlembagaan Persekutuan bagi urusan pemprosesan dan pemilihan kemasukan ke IPTA."
apakah sebab-sebab yang membolehkan surat tawaran saya dibatalkan,"Pihak UiTM berhak membatalkan tawaran yang telah dikeluarkan sekiranya didapati : 
1. Anda tidak memenuhi syarat kelayakan masuk. Anda dinasihatkan meneliti kelayakan masuk sebelum datang mendaftar
2. Anda mengemukakan maklumat/dokumen palsu semasa permohonan kemasukan/pendaftaran
3. Anda gagal melapor diri pada tarikh dan masa yang telah ditetapkan
4. Anda mempunyai kesan penggunaan dadah (tawaran ini tertakluk kepada keputusan ujian air kencing yang akan diadakan selama tempoh pengajian)
5. Anda tidak menamatkan pengajian pada tarikh pendaftaran serta tidak memenuhi syarat kelayakan minimum yang ditetapkan oleh UiTM bagi pelajar-pelajar tahun akhir Sijil/Diploma/Ijazah Sarjana Muda dari IPT untuk mengikuti program Diploma/Ijazah Sarjana Muda
6. Anda BUKAN BUMIPUTERA seperti yang ditakrifkan dalam perkara 160 (2) atau dalam perkara 161 a (6) (a) atau perkara 161 a (6) (b) berdasarkan Perlembagaan Persekutuan bagi urusan pemprosesan dan pemilihan kemasukan ke IPTA."
kenapa surat tawaran saya dibatalkan,"Pihak UiTM berhak membatalkan tawaran yang telah dikeluarkan sekiranya didapati : 
1. Anda tidak memenuhi syarat kelayakan masuk. Anda dinasihatkan meneliti kelayakan masuk sebelum datang mendaftar
2. Anda mengemukakan maklumat/dokumen palsu semasa permohonan kemasukan/pendaftaran
3. Anda gagal melapor diri pada tarikh dan masa yang telah ditetapkan
4. Anda mempunyai kesan penggunaan dadah (tawaran ini tertakluk kepada keputusan ujian air kencing yang akan diadakan selama tempoh pengajian)
5. Anda tidak menamatkan pengajian pada tarikh pendaftaran serta tidak memenuhi syarat kelayakan minimum yang ditetapkan oleh UiTM bagi pelajar-pelajar tahun akhir Sijil/Diploma/Ijazah Sarjana Muda dari IPT untuk mengikuti program Diploma/Ijazah Sarjana Muda
6. Anda BUKAN BUMIPUTERA seperti yang ditakrifkan dalam perkara 160 (2) atau dalam perkara 161 a (6) (a) atau perkara 161 a (6) (b) berdasarkan Perlembagaan Persekutuan bagi urusan pemprosesan dan pemilihan kemasukan ke IPTA."
pembatalan surat tawaran,"Pihak UiTM berhak membatalkan tawaran yang telah dikeluarkan sekiranya didapati : 
1. Anda tidak memenuhi syarat kelayakan masuk. Anda dinasihatkan meneliti kelayakan masuk sebelum datang mendaftar
2. Anda mengemukakan maklumat/dokumen palsu semasa permohonan kemasukan/pendaftaran
3. Anda gagal melapor diri pada tarikh dan masa yang telah ditetapkan
4. Anda mempunyai kesan penggunaan dadah (tawaran ini tertakluk kepada keputusan ujian air kencing yang akan diadakan selama tempoh pengajian)
5. Anda tidak menamatkan pengajian pada tarikh pendaftaran serta tidak memenuhi syarat kelayakan minimum yang ditetapkan oleh UiTM bagi pelajar-pelajar tahun akhir Sijil/Diploma/Ijazah Sarjana Muda dari IPT untuk mengikuti program Diploma/Ijazah Sarjana Muda
6. Anda BUKAN BUMIPUTERA seperti yang ditakrifkan dalam perkara 160 (2) atau dalam perkara 161 a (6) (a) atau perkara 161 a (6) (b) berdasarkan Perlembagaan Persekutuan bagi urusan pemprosesan dan pemilihan kemasukan ke IPTA."
